MyUnknownColumn,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
1757,0,19.0,Mobile,1,24.0,CC,Female,2.0,3,Laptop,3,Married,3,0,14.0,1.0,1.0,8.0,148.1
2861,1,1.0,Computer,3,7.0,COD,Female,4.0,6,Mobile,5,Single,2,0,22.0,2.0,2.0,1.0,148.25
877,0,8.0,Computer,1,24.0,DC,Male,2.0,3,Fashion,2,Single,3,0,11.0,0.0,2.0,2.0,193.62
250,0,22.0,Mobile,1,13.0,UPI,Male,2.0,4,Fashion,3,Single,9,0,24.0,1.0,1.0,0.0,145.0
243,1,3.0,Mobile,3,28.0,E wallet,Male,3.0,4,Laptop,3,Divorced,3,1,12.0,1.0,1.0,0.0,163.8
807,1,0.0,Mobile,1,13.0,COD,Female,2.0,3,Mobile,3,Married,4,1,13.0,1.0,7.0,7.0,133.39
2623,0,9.0,Mobile,1,16.0,DC,Male,2.0,3,Fashion,5,Married,8,1,13.0,2.0,5.0,7.0,183.21
2220,0,17.0,Mobile,1,35.0,UPI,Male,2.0,3,Laptop,1,Single,2,0,25.0,6.0,13.0,17.0,145.41
4127,0,13.0,Computer,1,16.0,DC,Male,3.0,4,Others,1,Single,4,0,16.0,1.0,2.0,4.0,319.31
3547,1,8.0,Mobile,1,17.0,DC,Male,4.0,4,Mobile,3,Single,3,1,12.0,2.0,2.0,3.0,154.36
1309,0,25.0,Computer,3,26.0,DC,Male,2.0,3,Mobile,1,Married,3,0,15.0,1.0,1.0,0.0,134.82
1156,1,0.0,Mobile,3,33.0,DC,Male,2.0,3,Laptop,1,Single,2,1,18.0,0.0,7.0,7.0,158.13
4753,0,10.0,Mobile,1,7.0,UPI,Female,3.0,4,Laptop,4,Married,2,0,16.0,2.0,2.0,6.0,177.28
4549,0,11.0,Mobile,1,17.0,DC,Male,3.0,4,Laptop,4,Single,4,1,13.0,1.0,2.0,2.0,166.97
1376,0,17.0,Mobile,1,16.0,UPI,Male,2.0,3,Laptop,1,Married,3,1,13.0,0.0,1.0,3.0,164.65
4233,0,6.0,Mobile,1,7.0,DC,Male,4.0,4,Laptop,4,Married,3,0,18.0,2.0,2.0,10.0,187.2
2212,0,23.0,Computer,1,8.0,CC,Female,1.0,3,Grocery,5,Married,3,0,22.0,1.0,2.0,2.0,278.56
2694,0,0.0,Mobile,1,7.0,DC,Female,3.0,4,Mobile,3,Married,2,1,13.0,0.0,1.0,0.0,129.33
4787,0,26.0,Computer,1,32.0,CC,Female,3.0,5,Grocery,1,Married,5,0,23.0,1.0,2.0,1.0,263.26
362,0,0.0,Mobile,1,6.0,DC,Female,3.0,4,Mobile,4,Single,2,0,13.0,1.0,1.0,0.0,128.36
566,0,13.0,Computer,1,15.0,CC,Male,2.0,3,Mobile,4,Married,9,1,14.0,0.0,1.0,0.0,136.17
3599,0,1.0,Mobile,1,32.0,DC,Female,3.0,2,Mobile,2,Single,3,1,13.0,2.0,2.0,2.0,154.94
906,1,9.0,Mobile,3,15.0,E wallet,Male,2.0,3,Fashion,1,Married,5,0,11.0,0.0,4.0,3.0,200.96
4366,0,1.0,Mobile,1,12.0,DC,Male,3.0,2,Mobile,4,Married,3,1,17.0,3.0,3.0,3.0,148.28
3943,0,7.0,Computer,3,9.0,E wallet,Female,4.0,4,Laptop,4,Single,10,0,16.0,1.0,2.0,8.0,176.47
3367,0,23.0,Mobile,1,15.0,UPI,Female,3.0,4,Fashion,4,Divorced,6,0,12.0,1.0,2.0,8.0,199.03
3825,0,20.0,Mobile,3,7.0,DC,Male,3.0,2,Grocery,5,Single,3,0,16.0,2.0,2.0,13.0,300.67
1546,0,22.0,Computer,1,24.0,DC,Male,3.0,3,Laptop,1,Married,2,1,15.0,0.0,1.0,7.0,168.04
670,0,10.0,Mobile,3,16.0,DC,Female,2.0,4,Laptop,2,Married,3,1,14.0,0.0,1.0,0.0,166.94
685,0,19.0,Mobile,3,9.0,E wallet,Male,2.0,3,Grocery,3,Divorced,4,0,12.0,1.0,4.0,9.0,274.65
90,0,14.0,Mobile,3,12.0,DC,Female,3.0,3,Fashion,2,Single,4,1,18.0,0.0,2.0,0.0,235.91000000000003
668,0,10.0,Mobile,1,21.0,DC,Male,2.0,3,Mobile,3,Married,2,0,16.0,2.0,2.0,2.0,122.07
4254,0,6.0,Mobile,3,13.0,CC,Male,3.0,4,Laptop,3,Single,3,0,17.0,6.0,6.0,8.0,175.1
4740,0,9.0,Mobile,3,15.0,DC,Female,4.0,4,Mobile,1,Married,3,0,17.0,2.0,2.0,3.0,150.72
4265,0,31.0,Computer,2,9.0,UPI,Female,3.0,5,Others,1,Married,11,0,16.0,1.0,3.0,3.0,313.44
3584,0,28.0,Mobile,1,10.0,DC,Male,3.0,4,Grocery,2,Divorced,5,0,16.0,2.0,2.0,10.0,302.79
1465,0,3.0,Computer,1,16.0,DC,Male,3.0,5,Mobile,3,Married,2,0,25.0,0.0,1.0,9.0,126.13
229,0,3.0,Computer,3,31.0,COD,Female,2.0,3,Laptop,3,Divorced,8,1,12.0,1.0,2.0,2.0,147.36
2587,0,13.0,Mobile,3,13.0,CC,Male,2.0,3,Others,4,Single,2,0,16.0,12.0,12.0,8.0,298.33
4491,0,1.0,Computer,3,7.0,E wallet,Male,4.0,4,Laptop,4,Married,2,1,14.0,1.0,2.0,5.0,188.49
4092,0,5.0,Mobile,1,9.0,CC,Female,3.0,6,Mobile,1,Married,3,1,12.0,2.0,2.0,1.0,136.29
541,1,0.0,Mobile,1,9.0,DC,Female,2.0,3,Laptop,3,Divorced,1,1,19.0,1.0,1.0,2.0,141.71
4792,0,16.0,Computer,1,9.0,CC,Male,3.0,4,Mobile,1,Single,7,1,15.0,2.0,3.0,3.0,150.15
2844,0,6.0,Computer,3,15.0,E wallet,Female,3.0,4,Fashion,2,Single,3,0,15.0,3.0,4.0,3.0,214.98
3076,0,11.0,Mobile,1,21.0,DC,Female,4.0,4,Mobile,5,Married,3,0,13.0,4.0,13.0,18.0,155.34
4353,0,17.0,Computer,1,14.0,CC,Male,3.0,2,Mobile,1,Married,6,0,15.0,2.0,3.0,3.0,145.89
4338,0,20.0,Mobile,3,7.0,E wallet,Female,4.0,4,Fashion,5,Married,3,0,26.0,9.0,16.0,3.0,229.53
4485,0,5.0,Computer,1,14.0,DC,Female,3.0,5,Fashion,3,Married,3,0,25.0,8.0,9.0,3.0,214.43
958,1,10.0,Mobile,1,15.0,DC,Male,2.0,3,Mobile,5,Single,4,0,14.0,1.0,1.0,0.0,120.18
309,0,4.0,Mobile,1,15.0,DC,Male,2.0,3,Fashion,4,Married,2,0,25.0,1.0,1.0,8.0,206.48000000000002
3240,0,1.0,Mobile,1,16.0,CC,Male,3.0,4,Mobile,5,Divorced,3,0,15.0,1.0,2.0,3.0,150.0
62,0,28.0,Mobile,1,20.0,CC,Male,3.0,2,Others,4,Single,9,0,11.0,1.0,2.0,15.0,287.22
1342,0,0.0,Mobile,1,10.0,DC,Male,2.0,1,Laptop,4,Married,2,1,20.0,1.0,1.0,3.0,161.42
713,1,5.0,Computer,3,18.0,DC,Male,2.0,3,Grocery,5,Single,1,1,12.0,7.0,2.0,14.0,237.57999999999998
1946,0,13.0,Computer,1,22.0,CC,Male,2.0,4,Laptop,3,Single,7,0,14.0,0.0,1.0,0.0,150.94
2962,0,2.0,Mobile,1,16.0,CC,Male,4.0,4,Mobile,2,Divorced,3,0,24.0,2.0,2.0,5.0,145.7
5370,0,7.0,Mobile,1,28.0,CC,Male,4.0,2,Mobile,4,Married,3,0,19.0,1.0,3.0,14.0,145.28
3202,0,1.0,Mobile,1,10.0,CC,Male,3.0,5,Mobile,2,Single,2,0,14.0,1.0,2.0,2.0,145.45
3274,0,16.0,Computer,1,15.0,DC,Male,4.0,4,Others,2,Married,3,0,16.0,1.0,15.0,10.0,309.3
772,0,30.0,Mobile,3,9.0,DC,Female,2.0,4,Laptop,2,Single,6,0,17.0,0.0,1.0,5.0,151.71
652,1,10.0,Mobile,1,16.0,DC,Female,2.0,4,Mobile,5,Single,2,0,13.0,1.0,1.0,0.0,114.16
3036,0,15.0,Mobile,1,13.0,CC,Male,4.0,5,Laptop,4,Single,8,1,16.0,2.0,2.0,3.0,185.32
3938,0,1.0,Mobile,1,15.0,CC,Female,4.0,4,Mobile,1,Single,3,0,12.0,2.0,2.0,5.0,159.45
1082,0,28.0,Mobile,1,28.0,COD,Male,3.0,4,Mobile,4,Married,6,0,12.0,1.0,1.0,2.0,135.37
186,0,18.0,Computer,1,13.0,DC,Male,3.0,3,Fashion,5,Married,2,0,18.0,5.0,9.0,11.0,152.1
4013,0,2.0,Computer,2,7.0,DC,Male,3.0,4,Mobile,1,Married,3,0,16.0,1.0,3.0,3.0,152.06
1665,0,0.0,Mobile,3,8.0,DC,Male,3.0,3,Laptop,3,Single,2,1,11.0,0.0,1.0,4.0,144.78
4182,0,8.0,Mobile,1,14.0,DC,Female,3.0,4,Fashion,4,Single,2,0,12.0,1.0,2.0,12.0,244.94
4557,0,1.0,Mobile,3,11.0,DC,Female,4.0,5,Laptop,1,Single,3,1,12.0,1.0,2.0,4.0,169.87
5456,0,4.0,Mobile,1,17.0,CC,Female,4.0,4,Fashion,3,Single,11,0,15.0,1.0,2.0,3.0,221.67
878,0,0.0,Mobile,1,6.0,COD,Male,2.0,3,Mobile,2,Divorced,5,0,11.0,1.0,1.0,2.0,132.29
294,0,10.0,Computer,1,9.0,DC,Male,2.0,3,Mobile,2,Divorced,5,0,15.0,0.0,1.0,4.0,120.97
3626,0,19.0,Computer,1,32.0,CC,Female,3.0,4,Others,4,Single,5,0,16.0,2.0,2.0,1.0,305.61
4427,0,1.0,Computer,1,12.0,DC,Male,3.0,2,Laptop,5,Married,3,0,13.0,2.0,2.0,6.0,165.0
5617,0,14.0,Mobile,1,9.0,CC,Female,4.0,4,Mobile,3,Married,4,0,15.0,1.0,2.0,3.0,145.01
5602,1,1.0,Mobile,1,8.0,CC,Male,3.0,4,Mobile,1,Married,11,1,15.0,3.0,3.0,3.0,172.87
5383,1,11.0,Computer,3,16.0,DC,Male,3.0,6,Grocery,3,Married,9,0,12.0,7.0,2.0,11.0,254.36
3354,0,10.0,Mobile,1,21.0,DC,Male,4.0,4,Laptop,2,Divorced,2,1,18.0,5.0,5.0,12.0,190.86
4597,0,4.0,Mobile,3,14.0,E wallet,Male,3.0,4,Mobile,4,Single,2,0,15.0,1.0,2.0,3.0,154.83
2177,0,10.0,Mobile,1,31.0,CC,Female,2.0,4,Laptop,1,Married,8,0,13.0,1.0,1.0,3.0,157.31
1208,1,9.0,Mobile,3,16.0,DC,Female,3.0,3,Fashion,4,Married,6,0,21.0,0.0,1.0,7.0,173.14
2327,0,11.0,Computer,1,16.0,DC,Male,2.0,1,Mobile,3,Married,2,0,11.0,0.0,1.0,3.0,126.1
5079,0,31.0,Mobile,1,25.0,CC,Male,4.0,4,Fashion,1,Single,8,0,13.0,4.0,6.0,3.0,230.12
913,0,21.0,Mobile,3,13.0,E wallet,Male,3.0,3,Laptop,5,Married,5,0,11.0,1.0,2.0,2.0,154.86
1642,0,8.0,Mobile,3,22.0,E wallet,Male,3.0,3,Fashion,4,Married,1,0,15.0,3.0,6.0,9.0,180.2
1932,0,25.0,Mobile,1,17.0,DC,Female,3.0,3,Laptop,3,Married,9,0,20.0,1.0,1.0,4.0,131.49
4103,0,1.0,Mobile,1,9.0,UPI,Male,3.0,4,Mobile,3,Married,8,1,20.0,1.0,2.0,3.0,164.77
709,0,7.0,Mobile,3,15.0,DC,Female,3.0,3,Laptop,3,Divorced,2,0,20.0,1.0,1.0,3.0,157.14
4270,0,25.0,Computer,1,7.0,CC,Female,2.0,5,Fashion,5,Single,5,0,21.0,5.0,13.0,9.0,199.84
5105,0,24.0,Mobile,1,35.0,DC,Female,3.0,4,Grocery,5,Married,6,1,16.0,1.0,2.0,3.0,293.8
4901,0,1.0,Mobile,3,12.0,E wallet,Male,3.0,4,Others,3,Married,8,0,16.0,1.0,2.0,1.0,308.03
2740,1,0.0,Computer,3,32.0,E wallet,Male,3.0,3,Laptop,1,Married,2,1,11.0,0.0,1.0,8.0,156.17
2789,1,19.0,Mobile,1,16.0,COD,Male,3.0,3,Mobile,3,Married,9,0,11.0,6.0,9.0,8.0,123.38999999999999
2447,0,9.0,Mobile,3,16.0,DC,Male,3.0,3,Mobile,1,Single,4,1,21.0,1.0,1.0,2.0,126.44
3296,0,8.0,Computer,1,23.0,DC,Female,4.0,5,Mobile,2,Single,3,0,17.0,2.0,2.0,4.0,150.53
3188,0,1.0,Mobile,1,13.0,CC,Male,4.0,4,Mobile,3,Divorced,2,0,21.0,3.0,3.0,3.0,152.73
2655,0,30.0,Computer,1,21.0,DC,Male,2.0,3,Grocery,3,Married,3,1,14.0,2.0,2.0,2.0,257.87
1520,0,29.0,Mobile,1,14.0,DC,Female,3.0,3,Mobile,5,Married,5,1,18.0,2.0,2.0,2.0,142.57
4452,0,5.0,Computer,3,12.0,E wallet,Female,3.0,4,Mobile,4,Married,3,0,12.0,1.0,3.0,3.0,152.89
2894,1,2.0,Mobile,1,36.0,CC,Male,4.0,4,Laptop,5,Divorced,9,1,20.0,1.0,2.0,1.0,191.73
1437,0,3.0,Mobile,3,10.0,CC,Female,3.0,4,Laptop,4,Married,2,1,12.0,2.0,2.0,7.0,152.09
2963,0,11.0,Mobile,3,13.0,CC,Male,4.0,4,Laptop,2,Divorced,6,0,15.0,1.0,2.0,2.0,190.02
4780,0,9.0,Mobile,1,34.0,CC,Female,3.0,5,Mobile,5,Single,3,0,12.0,1.0,2.0,2.0,150.59
3467,1,1.0,Mobile,1,17.0,DC,Female,3.0,5,Mobile,5,Single,3,0,14.0,2.0,2.0,1.0,139.16
679,0,21.0,Computer,1,6.0,CC,Male,2.0,1,Grocery,2,Single,3,0,22.0,1.0,2.0,1.0,268.85
697,0,7.0,Computer,1,8.0,DC,Male,3.0,3,Laptop,3,Single,3,0,11.0,1.0,1.0,2.0,140.33
1984,0,22.0,Mobile,1,6.0,COD,Female,2.0,3,Mobile,5,Married,3,0,16.0,0.0,1.0,2.0,135.8
2772,0,13.0,Mobile,1,16.0,DC,Male,2.0,3,Mobile,1,Married,9,0,19.0,1.0,1.0,0.0,124.06
1092,0,0.0,Mobile,1,15.0,CC,Male,3.0,1,Mobile,3,Married,2,0,16.0,0.0,1.0,4.0,144.01
3710,0,21.0,Mobile,1,7.0,COD,Male,4.0,4,Mobile,2,Divorced,9,0,13.0,2.0,2.0,3.0,159.2
1127,0,7.0,Mobile,1,8.0,CC,Male,3.0,1,Mobile,1,Married,1,1,14.0,0.0,1.0,2.0,129.32
1973,0,10.0,Mobile,3,22.0,E wallet,Male,3.0,4,Laptop,3,Married,5,0,19.0,1.0,1.0,0.0,163.34
4614,0,3.0,Mobile,1,26.0,COD,Male,3.0,4,Laptop,1,Married,6,0,13.0,2.0,2.0,3.0,167.62
3794,0,3.0,Mobile,1,16.0,DC,Male,4.0,2,Mobile,3,Married,8,0,19.0,2.0,2.0,1.0,149.51
3195,0,1.0,Mobile,1,13.0,DC,Female,4.0,4,Mobile,2,Divorced,3,1,14.0,1.0,2.0,3.0,151.59
1141,0,10.0,Mobile,1,15.0,DC,Male,3.0,3,Mobile,5,Married,2,0,20.0,1.0,1.0,4.0,122.88999999999999
5601,0,30.0,Computer,1,8.0,DC,Male,3.0,4,Laptop,3,Married,3,0,22.0,1.0,2.0,10.0,188.06
1930,1,10.0,Mobile,1,12.0,DC,Male,3.0,1,Mobile,5,Married,2,1,21.0,0.0,1.0,0.0,116.00999999999999
5100,1,3.0,Mobile,1,30.0,CC,Male,4.0,4,Mobile,5,Single,2,0,14.0,1.0,2.0,4.0,164.04
646,0,27.0,Mobile,3,8.0,DC,Female,2.0,4,Fashion,3,Divorced,7,0,11.0,6.0,7.0,0.0,206.86
3200,0,28.0,Mobile,2,26.0,CC,Male,3.0,4,Fashion,4,Divorced,4,0,16.0,4.0,2.0,2.0,232.25
5134,0,1.0,Computer,3,9.0,DC,Male,3.0,6,Laptop,1,Single,5,0,21.0,1.0,2.0,1.0,175.71
5166,1,13.0,Computer,1,35.0,DC,Male,4.0,5,Laptop,5,Single,5,0,21.0,1.0,2.0,4.0,167.84
2010,0,20.0,Mobile,3,8.0,DC,Female,3.0,4,Mobile,1,Single,2,1,18.0,0.0,1.0,2.0,132.94
2810,0,9.0,Computer,1,16.0,CC,Male,2.0,1,Laptop,1,Married,5,0,17.0,0.0,1.0,3.0,125.71000000000001
1126,0,3.0,Mobile,3,21.0,E wallet,Male,3.0,4,Fashion,5,Married,3,0,11.0,0.0,1.0,7.0,171.4
2781,0,0.0,Mobile,3,16.0,CC,Male,2.0,3,Mobile,5,Single,2,1,11.0,1.0,1.0,2.0,123.80000000000001
5433,1,1.0,Mobile,1,15.0,CC,Female,4.0,4,Mobile,5,Married,3,1,18.0,1.0,2.0,1.0,148.98
1656,0,18.0,Computer,1,13.0,DC,Male,3.0,3,Fashion,5,Married,2,0,18.0,2.0,9.0,11.0,152.1
413,0,14.0,Mobile,2,6.0,UPI,Male,2.0,4,Others,3,Divorced,2,0,12.0,1.0,2.0,10.0,291.89
4332,0,10.0,Computer,1,10.0,CC,Male,2.0,4,Mobile,4,Single,6,0,13.0,3.0,8.0,3.0,145.88
0,1,4.0,Mobile,3,6.0,DC,Female,3.0,3,Laptop,2,Single,9,1,11.0,1.0,1.0,5.0,159.93
2830,1,1.0,Mobile,2,13.0,UPI,Male,4.0,4,Mobile,5,Married,6,1,23.0,2.0,2.0,3.0,145.73
132,0,13.0,Mobile,1,8.0,CC,Male,2.0,3,Others,3,Married,1,0,16.0,0.0,3.0,9.0,294.36
622,0,11.0,Mobile,3,9.0,DC,Male,2.0,3,Laptop,2,Single,9,1,12.0,1.0,1.0,0.0,168.61
1710,0,19.0,Computer,1,13.0,CC,Female,1.0,3,Laptop,3,Married,3,0,14.0,1.0,1.0,0.0,152.58
971,0,13.0,Mobile,2,12.0,CC,Male,2.0,3,Grocery,1,Single,2,1,21.0,1.0,7.0,7.0,264.37
4196,1,14.0,Mobile,3,10.0,E wallet,Male,3.0,5,Mobile,3,Married,3,1,15.0,2.0,2.0,3.0,151.83
1879,0,26.0,Mobile,1,13.0,DC,Male,2.0,1,Grocery,3,Married,4,0,19.0,0.0,2.0,3.0,248.14
2124,1,14.0,Mobile,1,16.0,DC,Male,2.0,3,Mobile,3,Married,10,1,12.0,0.0,2.0,7.0,124.61000000000001
3906,0,17.0,Mobile,3,9.0,CC,Male,4.0,4,Laptop,1,Married,3,1,18.0,1.0,9.0,9.0,203.47
1341,0,12.0,Mobile,1,12.0,CC,Male,2.0,4,Fashion,5,Married,5,0,15.0,1.0,1.0,7.0,199.91
836,0,8.0,Computer,1,10.0,DC,Male,2.0,3,Laptop,3,Single,2,1,11.0,1.0,1.0,1.0,142.49
5421,0,12.0,Mobile,1,25.0,CC,Male,3.0,6,Laptop,1,Married,5,1,17.0,1.0,2.0,1.0,183.11
2032,0,9.0,Mobile,1,16.0,CC,Male,3.0,3,Mobile,3,Single,5,0,21.0,1.0,3.0,9.0,125.19
5359,0,10.0,Mobile,1,33.0,DC,Male,4.0,4,Laptop,3,Married,8,0,15.0,2.0,2.0,3.0,178.47
4694,0,27.0,Mobile,1,14.0,DC,Male,3.0,2,Grocery,3,Married,5,0,20.0,1.0,2.0,4.0,273.14
66,0,10.0,Mobile,1,15.0,CC,Female,2.0,3,Mobile,4,Single,2,0,16.0,1.0,1.0,3.0,122.78999999999999
865,0,6.0,Computer,3,11.0,DC,Male,3.0,3,Laptop,2,Divorced,7,0,13.0,1.0,1.0,2.0,199.98
5271,1,17.0,Mobile,1,9.0,COD,Female,4.0,5,Fashion,1,Married,2,0,17.0,1.0,2.0,3.0,226.69
4153,0,5.0,Computer,1,12.0,CC,Male,4.0,4,Laptop,5,Single,2,0,20.0,1.0,2.0,3.0,224.36
5141,1,1.0,Computer,3,25.0,E wallet,Female,4.0,4,Laptop,3,Married,2,1,19.0,1.0,4.0,3.0,171.14
728,0,0.0,Mobile,1,16.0,DC,Male,2.0,3,Mobile,5,Single,2,0,25.0,0.0,1.0,0.0,125.52000000000001
5086,0,17.0,Mobile,3,11.0,E wallet,Female,3.0,5,Fashion,1,Single,5,0,15.0,11.0,16.0,3.0,227.31
3818,0,10.0,Computer,1,13.0,DC,Male,4.0,2,Laptop,5,Married,5,1,14.0,2.0,2.0,3.0,180.62
1094,0,2.0,Mobile,1,15.0,CC,Female,3.0,3,Mobile,3,Married,10,0,17.0,1.0,1.0,2.0,129.74
1964,0,6.0,Mobile,3,6.0,CC,Male,2.0,1,Laptop,5,Married,2,0,22.0,0.0,1.0,8.0,140.37
797,0,17.0,Mobile,1,10.0,DC,Male,3.0,1,Others,5,Married,2,0,14.0,1.0,14.0,13.0,291.9
1019,0,4.0,Computer,3,8.0,UPI,Male,2.0,3,Laptop,5,Single,8,0,13.0,0.0,1.0,3.0,153.32
4538,1,1.0,Computer,3,26.0,E wallet,Male,4.0,2,Laptop,1,Single,10,1,14.0,1.0,2.0,5.0,178.04
3805,0,8.0,Mobile,1,14.0,CC,Male,3.0,4,Mobile,1,Single,3,0,14.0,1.0,2.0,1.0,154.72
4477,1,16.0,Mobile,1,15.0,CC,Male,3.0,5,Laptop,4,Married,4,0,16.0,8.0,8.0,8.0,174.41
4837,0,23.0,Mobile,1,15.0,UPI,Female,3.0,4,Fashion,4,Married,6,0,12.0,1.0,2.0,8.0,199.03
2955,0,3.0,Mobile,3,9.0,CC,Male,4.0,5,Laptop,4,Divorced,4,0,20.0,1.0,2.0,1.0,191.44
2360,0,7.0,Computer,1,7.0,UPI,Male,3.0,3,Mobile,5,Married,6,0,14.0,1.0,1.0,3.0,129.96
4329,0,6.0,Mobile,1,13.0,DC,Male,3.0,4,Mobile,3,Single,5,0,21.0,1.0,2.0,5.0,155.38
4850,0,5.0,Mobile,1,19.0,CC,Female,3.0,4,Laptop,1,Married,2,1,12.0,7.0,9.0,6.0,183.55
3254,0,19.0,Mobile,3,9.0,COD,Male,3.0,6,Laptop,3,Single,2,0,14.0,1.0,4.0,2.0,191.32
305,0,8.0,Mobile,1,28.0,DC,Male,2.0,5,Mobile,3,Single,1,0,15.0,2.0,4.0,3.0,142.3
4686,0,13.0,Mobile,1,9.0,COD,Female,4.0,5,Laptop,3,Single,3,0,12.0,2.0,12.0,11.0,170.53
1229,1,19.0,Mobile,1,16.0,DC,Male,3.0,3,Mobile,1,Single,2,0,16.0,0.0,1.0,0.0,125.87
5119,0,14.0,Mobile,1,9.0,DC,Male,4.0,4,Laptop,1,Single,3,0,14.0,4.0,9.0,9.0,171.61
4343,0,24.0,Mobile,1,7.0,CC,Male,3.0,5,Mobile,3,Married,4,0,16.0,2.0,2.0,3.0,161.9
2582,1,0.0,Mobile,3,7.0,DC,Male,2.0,5,Laptop,4,Single,7,0,15.0,0.0,1.0,0.0,167.35
2514,0,0.0,Mobile,1,14.0,CC,Female,2.0,1,Mobile,3,Married,8,0,17.0,0.0,1.0,2.0,135.17
2675,0,16.0,Mobile,1,12.0,CC,Female,2.0,4,Others,3,Married,8,0,16.0,6.0,6.0,14.0,293.92
1765,0,2.0,Mobile,1,9.0,CC,Male,3.0,4,Fashion,3,Married,2,0,18.0,0.0,1.0,3.0,219.35000000000002
4284,1,1.0,Mobile,3,13.0,DC,Male,4.0,6,Laptop,3,Married,6,1,19.0,1.0,8.0,8.0,186.72
5436,0,11.0,Mobile,3,16.0,E wallet,Male,3.0,5,Laptop,4,Married,3,0,15.0,2.0,2.0,4.0,166.89
2379,0,18.0,Mobile,1,26.0,CC,Male,3.0,5,Fashion,5,Married,3,1,18.0,1.0,1.0,7.0,208.51
3961,1,1.0,Mobile,3,14.0,E wallet,Male,3.0,4,Mobile,4,Single,3,0,14.0,2.0,2.0,1.0,151.79
1588,0,13.0,Mobile,1,30.0,COD,Male,3.0,3,Laptop,1,Married,2,0,17.0,2.0,4.0,7.0,133.19
2369,0,20.0,Mobile,1,8.0,CC,Female,2.0,3,Grocery,3,Married,4,0,19.0,1.0,5.0,6.0,271.69
1750,1,0.0,Mobile,1,9.0,CC,Male,3.0,3,Mobile,5,Married,6,0,13.0,1.0,1.0,2.0,140.31
3967,0,20.0,Mobile,1,9.0,CC,Male,3.0,4,Others,1,Married,9,1,16.0,2.0,3.0,3.0,318.28
4177,0,1.0,Computer,1,23.0,CC,Male,4.0,2,Mobile,1,Married,3,1,14.0,1.0,2.0,1.0,154.35
5431,1,1.0,Mobile,3,14.0,E wallet,Male,3.0,4,Mobile,4,Single,3,0,14.0,1.0,2.0,1.0,151.79
4647,0,1.0,Mobile,1,7.0,DC,Female,3.0,5,Mobile,4,Single,3,0,14.0,1.0,2.0,1.0,153.36
4967,0,12.0,Mobile,3,17.0,E wallet,Male,4.0,5,Fashion,3,Married,2,1,15.0,2.0,3.0,3.0,212.4
3442,1,1.0,Mobile,1,23.0,DC,Female,3.0,2,Mobile,5,Single,3,0,17.0,16.0,16.0,15.0,152.43
3,1,0.0,Mobile,3,15.0,DC,Male,2.0,4,Laptop,5,Single,8,0,23.0,0.0,1.0,3.0,134.07
2285,1,2.0,Mobile,1,29.0,CC,Male,3.0,3,Mobile,5,Single,1,0,13.0,0.0,1.0,3.0,139.04
5302,0,19.0,Mobile,1,12.0,CC,Female,3.0,6,Laptop,5,Single,3,1,15.0,1.0,2.0,5.0,182.69
4399,1,1.0,Mobile,1,7.0,DC,Male,4.0,5,Mobile,3,Single,2,1,15.0,1.0,2.0,3.0,162.3
4144,0,19.0,Mobile,3,27.0,DC,Female,3.0,4,Laptop,3,Single,10,0,16.0,2.0,2.0,2.0,173.5
2253,0,6.0,Mobile,3,16.0,E wallet,Male,2.0,1,Fashion,3,Married,1,1,14.0,0.0,1.0,8.0,183.8
4331,1,1.0,Computer,3,7.0,COD,Female,4.0,6,Mobile,5,Single,2,0,22.0,2.0,2.0,1.0,148.25
979,0,2.0,Mobile,1,16.0,DC,Male,3.0,1,Mobile,3,Married,7,0,18.0,1.0,1.0,0.0,124.50999999999999
582,0,20.0,Computer,1,22.0,CC,Male,3.0,1,Laptop,3,Married,2,1,19.0,0.0,2.0,7.0,150.67
5468,0,12.0,Mobile,3,9.0,E wallet,Female,4.0,6,Laptop,1,Married,4,1,21.0,1.0,2.0,4.0,179.05
5164,0,1.0,Mobile,1,14.0,UPI,Male,4.0,2,Mobile,5,Single,2,0,13.0,1.0,2.0,8.0,160.78
4101,0,1.0,Mobile,2,9.0,UPI,Female,3.0,4,Mobile,4,Married,6,0,15.0,1.0,2.0,3.0,146.87
390,0,10.0,Computer,1,9.0,DC,Male,2.0,4,Mobile,3,Divorced,2,0,18.0,1.0,1.0,0.0,112.81
5103,0,20.0,Mobile,2,8.0,DC,Female,3.0,4,Mobile,5,Single,8,0,13.0,3.0,6.0,8.0,159.23
328,1,0.0,Computer,2,23.0,DC,Female,3.0,3,Mobile,3,Married,1,1,11.0,0.0,1.0,0.0,127.41
319,0,21.0,Mobile,3,8.0,E wallet,Female,2.0,3,Laptop,2,Divorced,3,0,14.0,4.0,6.0,7.0,140.51
4028,1,1.0,Mobile,3,16.0,CC,Male,3.0,4,Mobile,1,Single,3,0,14.0,1.0,2.0,1.0,135.81
988,0,5.0,Computer,1,6.0,COD,Male,3.0,3,Laptop,5,Married,5,0,14.0,1.0,1.0,2.0,140.87
